Data Line,Correctness,Loss,Predicted,Actual
1,false,0.144714,8,5
2,false,0.143608,2,0
3,false,0.141668,2,4
4,false,0.137317,4,1
5,false,0.136527,4,9
6,true,0.040720,2,2
7,false,0.150163,8,1
8,false,0.128915,2,3
9,false,0.101210,0,1
10,false,0.132258,8,4
11,false,0.139362,2,3
12,false,0.135379,4,5
13,false,0.136405,8,3
14,false,0.141247,2,6
15,false,0.139102,2,1
16,false,0.137006,3,7
17,true,0.035861,2,2
18,false,0.101971,4,8
19,false,0.141095,2,6
20,false,0.149371,8,9
21,false,0.142949,2,4
22,false,0.122135,3,0
23,false,0.133594,3,9
24,false,0.132252,2,1
25,false,0.139551,4,1
26,false,0.075720,4,2
27,false,0.137826,2,4
28,false,0.143957,2,3
29,true,0.059708,2,2
30,false,0.141831,2,7
31,false,0.144861,8,3
32,false,0.129611,4,8
33,false,0.153507,8,6
34,false,0.141252,2,9
35,false,0.139067,3,0
36,false,0.150735,3,5
37,false,0.135265,8,6
38,false,0.132088,1,0
39,false,0.139329,2,7
40,false,0.143399,1,6
41,true,0.041330,1,1
42,false,0.089250,2,8
43,false,0.147067,0,7
44,false,0.132229,8,9
45,false,0.140933,8,3
46,false,0.134520,3,9
47,false,0.075400,3,8
48,false,0.151045,4,5
49,false,0.128321,2,9
50,false,0.150173,2,3
51,false,0.142482,4,3
52,false,0.134879,2,0
53,false,0.121281,8,7
54,false,0.139661,8,4
55,false,0.135234,2,9
56,false,0.077190,2,8
57,false,0.149245,1,0
58,false,0.129940,3,9
59,false,0.135243,2,4
60,false,0.142692,2,1
61,true,0.019511,4,4
62,false,0.150489,8,4
63,false,0.137233,2,6
64,false,0.158573,1,0
65,false,0.146269,3,4
66,false,0.134220,2,5
67,false,0.151172,1,6
68,false,0.055771,2,1
69,false,0.128908,4,0
70,false,0.144355,8,0
71,false,0.147929,8,1
72,false,0.139658,8,7
73,true,0.009630,1,1
74,false,0.139863,2,6
75,true,0.040881,3,3
76,false,0.130638,1,0
77,false,0.134831,4,2
78,false,0.145974,4,1
79,false,0.136393,4,1
80,false,0.132187,2,7
81,false,0.149011,2,9
82,false,0.147487,1,0
83,false,0.056964,4,2
84,false,0.146167,2,6
85,false,0.134778,2,7
