Data Line,Correctness,Loss,Predicted,Actual
1,false,0.095211,4,5
2,false,0.140000,5,0
3,false,0.161133,5,4
4,false,0.133071,5,1
5,false,0.143480,3,9
6,false,0.100609,4,2
7,false,0.123878,4,1
8,false,0.124526,4,3
9,false,0.135500,4,1
10,true,0.041719,4,4
11,true,0.029767,3,3
12,true,0.050988,5,5
13,false,0.081603,5,3
14,false,0.136060,5,6
15,false,0.140774,3,1
16,false,0.147661,4,7
17,false,0.127286,4,2
18,false,0.119793,4,8
19,false,0.119716,9,6
20,false,0.162286,3,9
21,true,0.005432,4,4
22,false,0.139920,4,0
23,false,0.127235,4,9
24,false,0.167384,3,1
25,false,0.141581,3,1
26,false,0.111018,4,2
27,true,0.051083,4,4
28,false,0.141326,4,3
29,false,0.094571,4,2
30,false,0.158551,3,7
31,false,0.164437,5,3
32,false,0.160876,3,8
33,false,0.137646,4,6
34,false,0.125730,4,9
35,false,0.149769,4,0
36,true,0.047873,5,5
37,false,0.133283,3,6
38,false,0.150792,4,0
39,false,0.137872,3,7
40,false,0.143906,4,6
41,false,0.185409,3,1
42,false,0.123254,4,8
43,false,0.133833,3,7
44,false,0.137711,4,9
45,false,0.151658,5,3
46,false,0.148839,3,9
47,false,0.149189,3,8
48,true,0.039972,5,5
49,false,0.130917,4,9
50,false,0.142377,4,3
51,false,0.105319,4,3
52,false,0.149023,5,0
53,false,0.136079,4,7
54,false,0.076565,5,4
55,false,0.122559,4,9
56,false,0.139080,4,8
57,false,0.154644,4,0
58,false,0.156930,3,9
59,true,0.031457,4,4
60,false,0.141506,4,1
61,true,0.030185,4,4
62,false,0.154123,3,4
63,false,0.140636,3,6
64,false,0.151971,4,0
65,true,0.009202,4,4
66,true,0.049261,5,5
67,false,0.181150,3,6
68,false,0.144216,3,1
69,false,0.127857,2,0
70,false,0.148256,4,0
71,false,0.161834,5,1
72,false,0.137650,4,7
73,false,0.146452,3,1
74,false,0.136530,3,6
75,true,0.051349,3,3
76,false,0.149718,4,0
77,false,0.163457,4,2
78,false,0.141818,3,1
79,false,0.137095,5,1
80,false,0.134187,4,7
81,false,0.151730,4,9
82,false,0.154691,4,0
83,false,0.149649,4,2
84,false,0.142074,3,6
85,false,0.132806,4,7
86,false,0.127456,3,8
87,false,0.141264,4,3
88,false,0.144116,3,9
89,false,0.159136,3,0
90,true,0.035759,4,4
91,false,0.150734,4,6
92,false,0.148121,4,7
93,false,0.054766,3,4
94,false,0.144007,4,6
95,false,0.145204,4,8
96,false,0.156424,4,0
97,false,0.139512,4,7
98,false,0.132340,4,8
99,false,0.137219,5,3
100,false,0.144841,3,1
101,false,0.096410,4,5
102,false,0.133993,4,7
103,false,0.148950,3,1
104,false,0.140294,4,7
105,false,0.125278,4,1
106,false,0.136394,5,1
107,false,0.158339,3,6
108,false,0.130625,5,3
109,false,0.133739,4,0
110,false,0.144425,4,2
