Data Line,Correctness,Loss,Predicted,Actual
1,false,0.133244,6,5,0.369284
2,false,0.141543,6,0,0.609196
3,false,0.138304,9,4,0.437262
4,false,0.135328,0,1,0.468344
5,false,0.098076,6,9,0.563592
6,false,0.144103,6,2,0.642595
7,false,0.095645,6,1,0.478365
8,false,0.140000,6,3,0.506880
9,false,0.108939,6,1,0.466876
10,false,0.137277,6,4,0.581978
11,false,0.081920,1,3,0.244932
12,false,0.158794,6,5,0.746695
13,false,0.108596,8,3,0.597800
14,false,0.069624,9,6,0.369960
15,false,0.134601,6,1,0.714054
16,false,0.139040,9,7,0.561099
17,false,0.130188,6,2,0.448090
18,false,0.160289,6,8,0.765254
19,true,0.043561,6,6,0.461322
20,false,0.139989,6,9,0.589170
21,false,0.121636,6,4,0.514074
22,false,0.128259,6,0,0.588500
23,false,0.090923,6,9,0.664959
24,false,0.134939,6,1,0.506042
25,false,0.137699,6,1,0.520474
26,false,0.135867,0,2,0.476191
27,false,0.141033,6,4,0.546849
28,false,0.128202,6,3,0.649289
29,false,0.131881,6,2,0.481329
30,false,0.139807,6,7,0.569702
31,false,0.078066,8,3,0.356159
32,false,0.145731,6,8,0.663026
33,false,0.073214,9,6,0.454163
34,false,0.129490,6,9,0.629125
35,false,0.079030,6,0,0.435695
36,false,0.150411,6,5,0.673796
37,true,0.032890,6,6,0.531313
38,false,0.102154,6,0,0.532406
39,false,0.131375,6,7,0.421199
40,false,0.059966,0,6,0.442990
41,false,0.104206,6,1,0.414005
42,false,0.145688,6,8,0.614504
43,false,0.123852,1,7,0.279221
44,false,0.144365,6,9,0.691888
45,false,0.132869,0,3,0.581681
46,false,0.062465,6,9,0.530425
47,false,0.138221,6,8,0.574449
48,false,0.149584,6,5,0.537510
49,false,0.159566,3,9,0.757544
50,false,0.088345,8,3,0.452838
51,false,0.133021,0,3,0.624194
52,false,0.098475,6,0,0.535273
53,false,0.131852,6,7,0.498610
54,false,0.111791,6,4,0.403181
55,false,0.096270,6,9,0.667806
56,false,0.155033,6,8,0.703994
57,true,0.015805,0,0,0.679113
58,false,0.120309,6,9,0.754009
59,false,0.179360,0,4,0.888630
60,false,0.133266,6,1,0.407113
61,false,0.112945,6,4,0.441631
62,false,0.142089,6,4,0.592300
63,false,0.082508,0,6,0.590469
64,false,0.055241,6,0,0.440924
65,false,0.133205,6,4,0.473349
