Data Line,Correctness,Loss,Predicted,Actual
1,true,0.017488,5,5
2,false,0.147134,1,0
3,false,0.161136,8,4
4,false,0.141129,9,1
5,false,0.148348,8,9
6,false,0.146477,8,2
7,false,0.199993,8,1
8,false,0.186138,8,3
9,false,0.198662,8,1
10,true,0.000546,4,4
11,false,0.149291,0,3
12,false,0.175657,6,5
13,false,0.156242,8,3
14,true,0.010801,6,6
15,false,0.174636,9,1
16,false,0.151565,8,7
17,true,0.013734,2,2
18,true,0.014242,8,8
19,false,0.138314,8,6
20,false,0.140488,8,9
21,false,0.180627,8,4
22,false,0.193644,5,0
23,false,0.168203,8,9
24,false,0.144840,9,1
25,false,0.130121,8,1
26,false,0.143310,5,2
27,false,0.181934,8,4
28,false,0.186753,8,3
29,false,0.188407,5,2
30,false,0.144703,9,7
31,false,0.170292,5,3
32,true,0.001059,8,8
33,false,0.191167,5,6
34,false,0.152603,8,9
35,false,0.076342,5,0
36,false,0.174625,4,5
37,false,0.134591,0,6
38,false,0.101872,5,0
39,false,0.147253,6,7
40,false,0.148598,5,6
41,false,0.159712,0,1
42,true,0.005799,8,8
43,false,0.171435,5,7
44,false,0.144263,8,9
45,false,0.165729,8,3
46,false,0.164770,8,9
47,false,0.062742,0,8
48,false,0.107080,3,5
49,false,0.152782,5,9
50,false,0.162609,8,3
51,false,0.154257,8,3
52,false,0.142116,5,0
53,false,0.147819,5,7
54,false,0.163523,9,4
55,false,0.158093,5,9
56,false,0.058872,5,8
57,false,0.178024,5,0
58,false,0.172163,8,9
59,false,0.175112,8,4
60,false,0.176180,9,1
61,false,0.169516,6,4
62,true,0.009799,4,4
63,false,0.127960,8,6
64,false,0.144331,5,0
65,false,0.185584,5,4
66,false,0.134441,4,5
67,false,0.137427,8,6
68,false,0.149400,9,1
69,false,0.171903,8,0
70,false,0.095379,8,0
71,false,0.137683,9,1
72,false,0.150118,5,7
73,false,0.148223,0,1
74,true,0.010564,6,6
75,false,0.197347,8,3
76,false,0.090967,8,0
77,false,0.200000,9,2
78,false,0.159480,9,1
79,false,0.178534,9,1
80,false,0.136520,5,7
81,false,0.091048,5,9
82,false,0.100464,8,0
83,false,0.153922,5,2
84,false,0.142938,8,6
85,false,0.158773,5,7
86,true,0.001746,8,8
87,false,0.152065,5,3
88,false,0.151786,8,9
89,false,0.152525,1,0
90,false,0.175356,8,4
91,false,0.152574,5,6
92,false,0.168299,5,7
93,false,0.192616,8,4
94,false,0.163127,8,6
95,false,0.129352,5,8
96,false,0.097502,8,0
97,false,0.159707,5,7
98,false,0.110942,5,8
99,false,0.147943,8,3
100,false,0.178044,9,1
101,false,0.076231,8,5
102,false,0.149437,5,7
103,false,0.147899,9,1
104,false,0.170291,5,7
105,false,0.163880,8,1
106,false,0.158327,9,1
107,false,0.147838,5,6
108,false,0.162135,8,3
109,false,0.135191,8,0
110,false,0.185809,6,2
111,false,0.146812,8,9
112,false,0.174864,8,3
113,false,0.160527,8,1
114,false,0.136781,9,1
115,false,0.186809,5,0
116,false,0.061529,8,4
117,false,0.189786,8,9
118,false,0.169024,5,2
119,false,0.077143,1,0
120,false,0.162112,5,0
121,false,0.182924,5,2
122,false,0.135336,2,0
123,false,0.198328,9,2
124,false,0.185615,5,7
125,false,0.154902,0,1
126,true,0.004337,8,8
127,false,0.149641,5,6
128,true,0.001841,4,4
