Data Line,Correctness,Loss,Predicted,Actual
1,false,0.158834,1,5,0.710349
2,false,0.097035,7,0,0.496320
3,false,0.133748,0,4,0.423924
4,false,0.145146,0,1,0.832297
5,false,0.147008,0,9,0.634279
6,false,0.147608,0,2,0.623275
7,false,0.086629,7,1,0.527252
8,false,0.142110,0,3,0.505747
9,false,0.095478,0,1,0.573482
10,false,0.151797,0,4,0.639645
11,false,0.146347,1,3,0.521621
12,false,0.141369,0,5,0.518684
13,false,0.129631,7,3,0.420041
14,false,0.145581,0,6,0.584010
15,false,0.090446,8,1,0.322394
16,false,0.114532,0,7,0.664500
17,false,0.151005,0,2,0.664742
18,false,0.163635,0,8,0.766349
19,false,0.139956,1,6,0.438619
20,false,0.162975,0,9,0.754709
21,false,0.139420,0,4,0.492086
22,false,0.071490,7,0,0.382141
23,false,0.150314,0,9,0.539820
24,false,0.140282,0,1,0.810823
25,true,0.043642,1,1,0.433726
26,false,0.135014,1,2,0.449791
27,false,0.134800,0,4,0.420305
28,false,0.130189,1,3,0.364036
29,false,0.179514,7,2,0.889278
30,false,0.099873,5,7,0.414117
31,false,0.151926,0,3,0.628172
32,false,0.148738,0,8,0.613632
33,false,0.142996,1,6,0.564295
34,false,0.176649,0,9,0.865029
35,true,0.032062,0,0,0.537025
36,false,0.156383,1,5,0.718651
37,false,0.159734,1,6,0.751755
38,false,0.073951,7,0,0.550674
39,false,0.065739,8,7,0.376029
40,false,0.157390,0,6,0.706577
41,false,0.092188,8,1,0.315379
42,false,0.159565,0,8,0.729948
43,false,0.131915,0,7,0.619399
44,false,0.149511,0,9,0.549455
45,false,0.179187,7,3,0.886848
46,false,0.151848,0,9,0.672346
47,false,0.141904,7,8,0.513968
48,false,0.141634,0,5,0.488007
49,false,0.183599,7,9,0.913637
50,false,0.143989,1,3,0.629841
51,false,0.152546,7,3,0.699615
52,false,0.159626,7,0,0.777684
53,true,0.024877,7,7,0.645140
54,false,0.134146,0,4,0.456422
55,false,0.145957,0,9,0.582741
56,false,0.136343,0,8,0.641094
57,false,0.183357,7,0,0.919741
58,false,0.154224,0,9,0.683150
59,false,0.162297,7,4,0.767883
60,false,0.117733,0,1,0.752715
61,false,0.165590,7,4,0.787499
62,false,0.146218,0,4,0.645801
63,false,0.130394,7,6,0.339271
64,false,0.128402,7,0,0.665832
65,false,0.184480,7,4,0.917654
66,false,0.080977,0,5,0.305308
67,false,0.136747,1,6,0.450784
68,false,0.124007,0,1,0.760884
69,false,0.138410,7,0,0.731051
70,false,0.070016,7,0,0.560674
71,true,0.031479,1,1,0.538003
72,false,0.072346,0,7,0.373012
73,true,0.051953,1,1,0.367405
74,false,0.133671,1,6,0.397194
75,false,0.181764,7,3,0.901430
76,true,0.025497,0,0,0.584576
77,false,0.167280,7,2,0.807809
78,false,0.123846,0,1,0.706099
79,false,0.092596,0,1,0.664080
80,false,0.138863,0,7,0.489972
81,false,0.180079,7,9,0.901839
82,true,0.049919,0,0,0.435006
83,false,0.136231,7,2,0.485095
84,false,0.139044,0,6,0.455121
85,false,0.145208,0,7,0.628318
86,false,0.177518,0,8,0.882499
87,false,0.134596,0,3,0.505727
88,false,0.157722,0,9,0.726385
89,false,0.178842,7,0,0.883236
90,false,0.148544,0,4,0.603227
91,false,0.137545,0,6,0.439379
92,false,0.150366,0,7,0.820338
93,false,0.169483,7,4,0.819527
94,false,0.136951,0,6,0.444725
95,false,0.145559,0,8,0.524513
96,false,0.059523,7,0,0.481276
97,false,0.122936,0,7,0.572074
98,false,0.144786,0,8,0.557162
99,false,0.142113,0,3,0.514786
100,false,0.085806,0,1,0.580944
101,false,0.127031,0,5,0.401319
102,true,0.021886,7,7,0.637203
103,false,0.075704,0,1,0.488171
104,false,0.139598,0,7,0.667074
105,false,0.095141,7,1,0.426018
106,false,0.100942,0,1,0.702606
107,false,0.141377,0,6,0.516267
108,false,0.148727,0,3,0.574762
109,false,0.101749,7,0,0.594851
110,false,0.133848,7,2,0.450324
111,false,0.142507,0,9,0.529653
112,false,0.149963,7,3,0.689292
113,false,0.080003,7,1,0.357499
114,false,0.105707,0,1,0.662129
115,false,0.154297,7,0,0.817425
116,false,0.151658,0,4,0.628411
117,false,0.142520,0,9,0.566633
118,false,0.144436,0,2,0.479834
119,false,0.135669,7,0,0.625067
120,true,0.061507,0,0,0.342763
121,false,0.131625,0,2,0.404685
122,false,0.107016,1,0,0.616983
123,false,0.135170,1,2,0.493594
124,false,0.093594,0,7,0.595332
125,false,0.064968,0,1,0.447265
126,false,0.167211,0,8,0.793351
127,false,0.128756,7,6,0.337928
128,false,0.161771,7,4,0.766768
129,false,0.093663,8,1,0.317893
130,false,0.131561,0,6,0.350743
131,false,0.151128,1,3,0.643923
132,false,0.166847,7,4,0.790235
133,false,0.174620,1,5,0.858179
134,false,0.150261,1,9,0.550419
135,false,0.096921,7,1,0.696136
136,false,0.149334,0,3,0.563148
137,false,0.167738,7,3,0.815623
138,false,0.140509,0,8,0.575795
139,false,0.134472,7,5,0.464995
140,false,0.146895,0,4,0.654648
141,false,0.113927,1,7,0.544939
142,false,0.129308,0,7,0.630951
143,false,0.168650,7,4,0.821258
144,false,0.140450,0,2,0.567725
145,false,0.162898,7,8,0.901822
146,false,0.132951,1,5,0.410275
147,false,0.136325,1,8,0.471258
148,false,0.137147,1,6,0.441202
149,false,0.136398,0,7,0.574791
150,false,0.165363,7,3,0.790279
151,false,0.138969,0,4,0.542617
152,false,0.129832,1,6,0.440663
153,true,0.044068,1,1,0.428898
154,false,0.145567,0,9,0.540251
155,false,0.173608,7,9,0.851355
156,false,0.140549,1,6,0.453023
157,false,0.080138,1,0,0.466627
158,false,0.149109,0,3,0.495918
159,true,0.035995,7,7,0.487775
160,false,0.133003,1,2,0.395046
161,true,0.024873,8,8,0.570840
162,false,0.150166,0,2,0.561254
163,false,0.138302,0,9,0.441048
164,false,0.141379,0,4,0.572516
165,false,0.161256,7,4,0.765367
166,false,0.136634,1,6,0.437536
167,false,0.161976,0,4,0.773062
168,false,0.144502,0,9,0.569441
169,false,0.165689,0,7,0.787277
170,true,0.011073,0,0,0.728515
171,false,0.159227,0,9,0.747846
172,false,0.135580,1,2,0.467430
173,false,0.147936,7,9,0.606606
174,false,0.175637,1,5,0.861992
175,false,0.098116,7,1,0.352817
176,false,0.152680,1,5,0.685905
177,false,0.140293,0,9,0.551821
178,false,0.079467,0,1,0.624028
179,false,0.142586,1,2,0.499138
180,false,0.098777,1,3,0.434624
181,false,0.135775,1,2,0.404592
182,false,0.095540,1,3,0.394470
183,false,0.176628,7,5,0.876033
184,false,0.135816,1,9,0.440729
185,false,0.084758,7,1,0.527117
186,false,0.078845,0,7,0.592426
187,false,0.183915,7,6,0.914506
188,false,0.136975,0,2,0.484930
189,false,0.188952,7,8,0.957580
190,false,0.150641,0,2,0.632603
191,false,0.146339,1,2,0.597774
192,false,0.137077,1,5,0.540075
193,false,0.093420,7,0,0.573583
194,false,0.116090,0,7,0.661893
195,false,0.191781,7,4,0.957679
196,false,0.161875,0,9,0.745270
197,true,0.006151,7,7,0.812579
198,false,0.064892,0,8,0.544751
199,false,0.171413,7,3,0.840942
200,false,0.138910,7,2,0.554654
201,false,0.063399,7,1,0.431086
202,false,0.144994,0,1,0.823140
203,false,0.137815,0,8,0.725207
204,false,0.107655,1,3,0.417213
205,false,0.160535,1,6,0.758593
206,false,0.143990,0,1,0.786314
207,false,0.131832,7,0,0.627347
208,false,0.094458,1,3,0.377301
209,true,0.040503,1,1,0.441695
210,false,0.171599,7,0,0.842373
211,false,0.129487,7,0,0.568315
212,true,0.040173,1,1,0.450003
213,false,0.120071,1,7,0.739012
214,false,0.142209,1,2,0.519303
215,true,0.000678,7,7,0.932846
216,false,0.146034,1,3,0.555362
217,false,0.134638,7,0,0.781230
218,false,0.145148,0,4,0.568304
219,false,0.139075,0,6,0.555516
220,false,0.158106,1,5,0.709705
221,false,0.175828,7,2,0.859406
222,false,0.149811,1,6,0.531659
223,false,0.169441,7,4,0.823634
224,false,0.124646,0,7,0.472439
225,true,0.034926,1,1,0.553295
226,false,0.148670,0,8,0.686898
227,false,0.149191,7,9,0.568186
228,false,0.143867,1,9,0.583094
229,false,0.147247,7,3,0.650072
230,false,0.176901,7,0,0.884939
231,false,0.118152,0,7,0.479121
232,true,0.055126,1,1,0.372028
233,true,0.016822,0,0,0.687516
234,false,0.145767,0,2,0.537215
235,false,0.147084,7,0,0.750531
236,false,0.136488,1,3,0.609745
237,false,0.169013,1,5,0.811375
238,false,0.146124,0,4,0.625260
239,false,0.143774,7,6,0.615265
240,false,0.134966,1,5,0.442617
241,false,0.157482,0,8,0.719689
242,false,0.164120,7,6,0.791661
243,false,0.126869,0,3,0.309192
244,false,0.120595,0,7,0.464088
245,false,0.171521,7,5,0.839625
246,true,0.008173,8,8,0.766935
247,false,0.174872,7,0,0.867601
248,false,0.149698,1,9,0.619924
249,false,0.062867,7,1,0.412669
250,false,0.165967,7,0,0.824506
251,false,0.178621,1,3,0.879598
252,true,0.030315,1,1,0.541316
253,false,0.131689,7,2,0.476395
254,false,0.152969,1,2,0.687221
255,false,0.146713,7,3,0.650063
256,false,0.147728,1,3,0.515199
257,false,0.149054,1,6,0.541534
258,false,0.152550,0,4,0.691022
259,false,0.164593,1,7,0.902841
260,false,0.141924,0,5,0.542462
261,false,0.132621,7,0,0.792691
262,false,0.148926,0,6,0.592559
263,false,0.134208,0,2,0.437722
264,true,0.029553,7,7,0.555188
265,false,0.175160,7,9,0.860332
266,false,0.123529,0,8,0.665070
267,false,0.140896,7,5,0.722268
268,false,0.138684,7,9,0.490328
269,false,0.147304,0,2,0.576687
270,false,0.079318,0,1,0.539402
271,true,0.042843,1,1,0.435276
272,false,0.147037,0,4,0.635726
273,false,0.144865,0,4,0.609226
274,false,0.136454,1,5,0.426438
275,false,0.161147,7,6,0.769975
276,false,0.164557,7,4,0.782190
277,false,0.089196,8,1,0.362002
278,false,0.147603,0,2,0.569330
279,false,0.152557,0,5,0.625276
280,false,0.138184,1,3,0.574122
281,false,0.146956,0,9,0.614342
282,false,0.142624,1,3,0.780690
283,false,0.171487,7,9,0.835279
284,false,0.158773,7,0,0.750820
285,false,0.164722,7,5,0.798110
286,false,0.143949,1,9,0.572181
287,false,0.144732,7,6,0.616263
