Data Line,Correctness,Loss,Predicted,Actual
1,false,0.146701,3,5,0.603725
2,false,0.137675,1,0,0.759680
3,false,0.171644,1,4,0.831537
4,false,0.127202,2,1,0.768351
5,false,0.161279,3,9,0.759471
6,false,0.184082,3,2,0.914118
7,true,0.037488,1,1,0.541698
8,false,0.144955,2,3,0.541787
9,true,0.002245,1,1,0.885470
10,false,0.147923,1,4,0.542362
11,false,0.145754,1,3,0.619169
12,false,0.143680,3,5,0.621418
13,false,0.084734,1,3,0.459704
14,false,0.152115,3,6,0.681052
15,true,0.008642,1,1,0.764871
16,false,0.147663,1,7,0.647177
17,false,0.143858,1,2,0.629744
18,false,0.162653,2,8,0.757811
19,false,0.194995,3,6,0.974479
20,false,0.179802,1,9,0.896039
21,false,0.149059,1,4,0.606100
22,false,0.167453,2,0,0.827060
23,false,0.163364,1,9,0.775127
24,false,0.145159,2,1,0.830774
25,false,0.164026,2,1,0.899184
26,false,0.080889,1,2,0.620236
27,false,0.058463,1,4,0.539875
28,false,0.135501,1,3,0.615656
29,false,0.199073,3,2,0.995344
30,false,0.168979,2,7,0.818528
31,true,0.004966,3,3,0.833574
32,false,0.160311,1,8,0.763805
33,false,0.199998,3,6,0.999991
34,false,0.148296,1,9,0.625351
35,false,0.193938,3,0,0.984593
36,false,0.146240,2,5,0.483186
37,false,0.195423,3,6,0.976716
38,false,0.079825,1,0,0.619882
39,false,0.177791,1,7,0.877639
40,false,0.199581,3,6,0.997901
41,true,0.019419,1,1,0.641225
42,false,0.193722,2,8,0.967574
43,false,0.145045,3,7,0.601956
44,false,0.157448,2,9,0.737032
45,false,0.143440,1,3,0.634463
46,false,0.190284,3,9,0.949099
47,false,0.152638,2,8,0.653655
48,false,0.172628,2,5,0.842246
49,false,0.156845,3,9,0.728015
50,false,0.148101,1,3,0.600335
51,false,0.149893,1,3,0.525837
52,false,0.142809,1,0,0.682662
53,false,0.157094,1,7,0.736679
54,false,0.146534,1,4,0.676763
55,false,0.190123,3,9,0.949787
56,false,0.152786,1,8,0.692275
57,false,0.091099,1,0,0.546190
58,false,0.144556,1,9,0.494754
59,false,0.195485,1,4,0.982775
60,false,0.095506,2,1,0.673325
61,false,0.130553,1,4,0.436071
62,false,0.160075,2,4,0.737719
63,false,0.192353,3,6,0.960281
64,false,0.115548,3,0,0.680452
65,false,0.159253,1,4,0.720277
66,false,0.149704,2,5,0.573933
67,false,0.199861,3,6,0.999303
68,true,0.006198,1,1,0.798252
69,false,0.143720,2,0,0.495753
70,false,0.161261,3,0,0.743550
71,true,0.007942,1,1,0.784593
72,false,0.157573,1,7,0.741812
73,true,0.046900,1,1,0.514878
74,false,0.199981,3,6,0.999904
75,false,0.161603,4,3,0.743114
76,false,0.142004,1,0,0.785532
77,true,0.032223,2,2,0.574301
78,true,0.021406,1,1,0.590101
79,false,0.061879,2,1,0.485958
80,false,0.142145,1,7,0.572685
81,false,0.170622,1,9,0.829963
82,false,0.145267,1,0,0.510162
83,false,0.128787,0,2,0.368374
84,false,0.150252,3,6,0.634803
85,false,0.155811,1,7,0.717882
86,false,0.143619,1,8,0.489401
87,true,0.006986,3,3,0.793925
88,false,0.161845,1,9,0.770018
89,false,0.132229,1,0,0.806965
90,false,0.174248,1,4,0.857453
91,false,0.192809,3,6,0.962760
