Data Line,Correctness,Loss,Predicted,Actual
1,false,0.132787,0,5,0.440543
2,false,0.176505,6,0,0.869457
3,false,0.142534,1,4,0.606630
4,false,0.069388,7,1,0.522994
5,false,0.139915,0,9,0.505735
6,false,0.150059,9,2,0.580199
7,false,0.159389,5,1,0.747242
8,false,0.139415,1,3,0.518839
9,false,0.155544,2,1,0.806878
10,false,0.149334,6,4,0.525586
11,false,0.133400,0,3,0.434836
12,false,0.192516,8,5,0.961062
13,false,0.133419,2,3,0.487088
14,false,0.180521,2,6,0.893409
15,false,0.150943,2,1,0.616599
16,true,0.000060,7,7,0.982681
17,false,0.199985,6,2,0.999925
18,false,0.200000,9,8,1.000000
19,false,0.139125,5,6,0.444916
20,false,0.161489,7,9,0.767046
21,false,0.154548,1,4,0.650814
22,false,0.200000,6,0,1.000000
23,false,0.100000,0,9,0.000000
24,true,0.000000,1,1,1.000000
25,true,0.000000,1,1,1.000000
26,false,0.200000,1,2,1.000000
27,false,0.100000,0,4,0.000000
28,false,0.100000,0,3,0.000000
29,false,0.100000,0,2,0.000000
30,false,0.100000,0,7,0.000000
31,false,0.100000,0,3,0.000000
32,false,0.100000,0,8,0.000000
33,false,0.200000,2,6,1.000000
34,false,0.100000,0,9,0.000000
35,true,0.100000,0,0,0.000000
36,false,0.100000,0,5,0.000000
37,false,0.100000,0,6,0.000000
38,true,0.100000,0,0,0.000000
39,false,0.100000,0,7,0.000000
40,false,0.100000,0,6,0.000000
41,false,0.100000,0,1,0.000000
42,false,0.100000,0,8,0.000000
43,false,0.100000,0,7,0.000000
44,false,0.100000,0,9,0.000000
45,false,0.100000,0,3,0.000000
46,false,0.100000,0,9,0.000000
47,false,0.100000,0,8,0.000000
48,false,0.100000,0,5,0.000000
49,false,0.100000,0,9,0.000000
50,false,0.100000,0,3,0.000000
51,false,0.100000,0,3,0.000000
52,true,0.100000,0,0,0.000000
53,false,0.200000,3,7,1.000000
54,false,0.100000,0,4,0.000000
55,false,0.100000,0,9,0.000000
56,false,0.100000,0,8,0.000000
57,true,0.100000,0,0,0.000000
58,false,0.100000,0,9,0.000000
59,false,0.100000,0,4,0.000000
60,false,0.100000,0,1,0.000000
61,false,0.100000,0,4,0.000000
62,false,0.200000,5,4,1.000000
63,false,0.100000,0,6,0.000000
64,true,0.100000,0,0,0.000000
