Data Line,Correctness,Loss,Predicted,Actual
1,false,0.080383,1,5
2,false,0.150297,5,0
3,false,0.147569,9,4
4,false,0.184661,5,1
5,false,0.121789,5,9
6,false,0.106326,5,2
7,false,0.141120,5,1
8,false,0.129918,5,3
9,false,0.094862,5,1
10,false,0.095424,5,4
11,false,0.130322,5,3
12,false,0.056449,8,5
13,false,0.128978,2,3
14,false,0.124759,5,6
15,false,0.140639,5,1
16,false,0.125231,5,7
17,false,0.128271,5,2
18,false,0.136483,5,8
19,true,0.071815,6,6
20,false,0.129968,5,9
21,false,0.132043,1,4
22,false,0.142768,5,0
23,false,0.137908,5,9
24,false,0.194623,5,1
25,false,0.118443,2,1
26,false,0.150572,5,2
27,false,0.128598,2,4
28,false,0.123311,2,3
29,false,0.102660,1,2
30,false,0.068024,5,7
31,false,0.124563,2,3
32,false,0.192005,5,8
33,false,0.114178,5,6
34,false,0.137481,5,9
35,false,0.129255,5,0
36,false,0.066565,7,5
37,false,0.078688,5,6
38,false,0.130158,5,0
39,false,0.166084,5,7
40,false,0.093077,5,6
41,false,0.097127,5,1
42,false,0.129358,5,8
43,false,0.099465,5,7
44,false,0.128348,5,9
45,false,0.130471,2,3
46,false,0.125765,5,9
47,false,0.127150,5,8
48,false,0.096526,2,5
49,false,0.123391,6,9
50,false,0.121655,5,3
51,false,0.140243,4,3
52,false,0.127928,2,0
53,false,0.072361,5,7
54,false,0.096193,5,4
55,false,0.127318,5,9
56,false,0.125490,6,8
57,false,0.128805,5,0
58,false,0.126510,2,9
59,false,0.123093,1,4
60,false,0.155898,5,1
61,false,0.137502,1,4
62,false,0.127574,6,4
63,false,0.065065,5,6
64,false,0.123253,5,0
65,false,0.122130,1,4
66,true,0.046115,5,5
67,false,0.066374,5,6
68,false,0.197153,5,1
69,false,0.131565,5,0
70,false,0.130467,5,0
71,false,0.138959,5,1
72,false,0.130186,5,7
73,false,0.074105,5,1
74,false,0.125696,4,6
75,false,0.132012,6,3
76,false,0.130527,5,0
77,false,0.122908,1,2
78,false,0.177568,5,1
79,false,0.118624,5,1
80,false,0.125523,5,7
81,false,0.154908,5,9
82,false,0.124574,5,0
83,false,0.127151,5,2
84,false,0.163415,5,6
85,false,0.096040,1,7
86,false,0.126397,5,8
87,false,0.132460,5,3
88,false,0.127870,5,9
89,false,0.132868,5,0
90,false,0.078104,5,4
91,false,0.105168,5,6
92,false,0.115422,5,7
93,false,0.123681,6,4
94,false,0.122850,4,6
95,false,0.132988,5,8
96,false,0.131701,5,0
